reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.01,41.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,01,quantile,0.01,30.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,01,quantile,0.01,20.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,01,quantile,0.01,14.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.025,44.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,01,quantile,0.025,33.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,01,quantile,0.025,23.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,01,quantile,0.025,16.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.05,47.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,01,quantile,0.05,35.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,01,quantile,0.05,26.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,01,quantile,0.05,18.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.1,51.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,01,quantile,0.1,39.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,01,quantile,0.1,29.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,01,quantile,0.1,21.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.15,53.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,01,quantile,0.15,42.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,01,quantile,0.15,32.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,01,quantile,0.15,23.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.2,56.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,01,quantile,0.2,44.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,01,quantile,0.2,34.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,01,quantile,0.2,25.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.25,58.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,01,quantile,0.25,46.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,01,quantile,0.25,36.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,01,quantile,0.25,27.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,01,quantile,0.3,60.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,01,quantile,0.3,49.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,01,quantile,0.3,38.0
