output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,0.005713904691979243,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.025,0.005969987218234055,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.05,0.006269573621777325,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.1,0.006556760849712852,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.15,0.006736797730551055,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.2,0.006889252638285831,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.25,0.0070364649753082,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.3,0.0071419481452645265,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.35,0.0072718377354811115,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.4,0.007395030120312847,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.45,0.0074971078464269965,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.5,0.007608599358380498,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.55,0.0077423568560505964,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.6,0.007867586322907096,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.65,0.007989098278814999,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.7,0.008115199862026322,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.75,0.00825066363267797,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.8,0.0084225145482517,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.85,0.008630776660356823,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.9,0.008868205905128781,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.95,0.009288105666437594,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.975,0.00967375193956133,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.99,0.010141901526684337,2026-01-03,wk inc rsv prop ed visits,0,2026-01-03,13
quantile,0.01,0.005752255569908834,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.025,0.006145153812763848,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.05,0.006625284647827962,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.1,0.007235979135426495,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.15,0.007552553153303058,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.2,0.007829485527366238,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.25,0.008065516827452822,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.3,0.008307149192623917,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.35,0.00852235456999552,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.4,0.008783407283148383,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.45,0.009032267530136915,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.5,0.009271032185888928,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.55,0.009529507003705164,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.6,0.009809034758916094,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.65,0.010130928557263186,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.7,0.01049601004911126,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.75,0.010837064864815487,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.8,0.011337618358636,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.85,0.011843510762629607,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.9,0.012461085796944342,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.95,0.013664038904844517,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.975,0.014891476244030739,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
quantile,0.99,0.016385644438136494,2026-01-03,wk inc rsv prop ed visits,1,2026-01-10,13
