output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,113,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.025,124,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.05,135,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.1,143,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.15,151,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.2,156,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.25,162,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.3,167,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.35,172.64999999999998,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.4,176.60000000000002,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.45,181,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.5,186,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.55,189.45000000000005,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.6,193,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.65,198,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.7,202,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.75,207.25,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.8,213,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.85,221,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.9,231,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.95,249,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.975,265,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.99,283,2025-12-20,wk inc rsv hosp,0,2025-12-20,13
quantile,0.01,0.00330652587384869,2025-12-20,wk inc rsv prop ed visits,0,2025-12-20,13
quantile,0.025,0.0035013627441581622,2025-12-20,wk inc rsv prop ed visits,0,2025-12-20,13
quantile,0.05,0.003689516154751095,2025-12-20,wk inc rsv prop ed visits,0,2025-12-20,13
quantile,0.1,0.0039211179628468335,2025-12-20,wk inc rsv prop ed visits,0,2025-12-20,13
quantile,0.15,0.004039773592058013,2025-12-20,wk inc rsv prop ed visits,0,2025-12-20,13
quantile,0.2,0.004125666018681676,2025-12-20,wk inc rsv prop ed visits,0,2025-12-20,13
quantile,0.25,0.00424319375695486,2025-12-20,wk inc rsv prop ed visits,0,2025-12-20,13
quantile,0.3,0.004332254609701207,2025-12-20,wk inc rsv prop ed visits,0,2025-12-20,13
quantile,0.35,0.004401409038057891,2025-12-20,wk inc rsv prop ed visits,0,2025-12-20,13
quantile,0.4,0.004468017152476864,2025-12-20,wk inc rsv prop ed visits,0,2025-12-20,13
quantile,0.45,0.004562942307086662,2025-12-20,wk inc rsv prop ed visits,0,2025-12-20,13
quantile,0.5,0.004632974843306535,2025-12-20,wk inc rsv prop ed visits,0,2025-12-20,13
