output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,0,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.025,0,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.05,0,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.1,0,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.15,0,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.2,0,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.25,1,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.3,1,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.35,1,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.4,1,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.45,1,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.5,2,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.55,2,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.6,2,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.65,3,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.7,3,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.75,3,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.8,4,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.85,4,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.9,5,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.95,7,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.975,8,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.99,10,2025-11-29,wk inc rsv hosp,0,2025-11-29,02
quantile,0.01,0,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
quantile,0.025,0,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
quantile,0.05,0,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
quantile,0.1,0,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
quantile,0.15,0,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
quantile,0.2,1,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
quantile,0.25,1,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
quantile,0.3,1,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
quantile,0.35,1,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
quantile,0.4,2,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
quantile,0.45,2,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
quantile,0.5,2,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
quantile,0.55,2,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
quantile,0.6,3,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
quantile,0.65,3,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
quantile,0.7,4,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
quantile,0.75,4,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
quantile,0.8,5,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
quantile,0.85,6,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
quantile,0.9,7,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
quantile,0.95,10,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
quantile,0.975,14,2025-11-29,wk inc rsv hosp,1,2025-12-06,02
