reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.01,19.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.025,54.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.05,80.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.1,85.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.15,94.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.2,96.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.25,99.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.3,99.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.35,103.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.4,105.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.45,105.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.5,107.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.55,116.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.6,123.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.65,132.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.7,135.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.75,136.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.8,136.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.85,138.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.9,139.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.95,155.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.975,164.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.99,185.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.01,0.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.025,1.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.05,2.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.1,2.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.15,3.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.2,4.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.25,4.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.3,4.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.35,5.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.4,6.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.45,6.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.5,6.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.55,7.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.6,8.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.65,8.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.7,9.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.75,9.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.8,11.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.85,11.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.9,12.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.95,14.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.975,15.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.99,22.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.01,6.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.025,19.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.05,26.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.1,32.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.15,37.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.2,40.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.25,40.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.3,40.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.35,43.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.4,43.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.45,43.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.5,44.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.55,44.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.6,45.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.65,45.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.7,46.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.75,49.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.8,53.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.85,56.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.9,62.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.95,68.5
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.975,81.0
