reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.01,4
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.025,6
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.05,7
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.1,8
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.15,9
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.2,10
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.25,10
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.3,11
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.35,11
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.4,11
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.45,12
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.5,12
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.55,13
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.6,13
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.65,14
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.7,14
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.75,15
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.8,16
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.85,17
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.9,18
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.95,20
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.975,22
2026-09-26,wk inc rsv hosp,-1,2026-09-19,01,quantile,0.99,24
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.01,1
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.025,2
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.05,3
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.1,4
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.15,4
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.2,4
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.25,5
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.3,5
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.35,5
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.4,5
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.45,5
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.5,5
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.55,6
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.6,6
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.65,6
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.7,6
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.75,7
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.8,7
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.85,7
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.9,8
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.95,9
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.975,11
2026-09-26,wk inc rsv hosp,-1,2026-09-19,02,quantile,0.99,13
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.01,0
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.025,0
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.05,0
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.1,0
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.15,0
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.2,0
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.25,0
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.3,0
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.35,0
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.4,0
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.45,0
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.5,0
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.55,0
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.6,1
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.65,1
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.7,1
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.75,2
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.8,2
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.85,2
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.9,3
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.95,4
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.975,5
2026-09-26,wk inc rsv hosp,-1,2026-09-19,04,quantile,0.99,5
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.01,0
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.025,0
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.05,0
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.1,0
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.15,1
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.2,1
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.25,1
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.3,1
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.35,1
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.4,1
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.45,1
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.5,1
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.55,1
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.6,2
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.65,2
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.7,2
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.75,2
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.8,2
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.85,3
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.9,3
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.95,4
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.975,5
2026-09-26,wk inc rsv hosp,-1,2026-09-19,05,quantile,0.99,6
2026-09-26,wk inc rsv hosp,-1,2026-09-19,06,quantile,0.01,6
2026-09-26,wk inc rsv hosp,-1,2026-09-19,06,quantile,0.025,7
2026-09-26,wk inc rsv hosp,-1,2026-09-19,06,quantile,0.05,9
2026-09-26,wk inc rsv hosp,-1,2026-09-19,06,quantile,0.1,11
2026-09-26,wk inc rsv hosp,-1,2026-09-19,06,quantile,0.15,12
2026-09-26,wk inc rsv hosp,-1,2026-09-19,06,quantile,0.2,13
2026-09-26,wk inc rsv hosp,-1,2026-09-19,06,quantile,0.25,14
2026-09-26,wk inc rsv hosp,-1,2026-09-19,06,quantile,0.3,14
2026-09-26,wk inc rsv hosp,-1,2026-09-19,06,quantile,0.35,15
2026-09-26,wk inc rsv hosp,-1,2026-09-19,06,quantile,0.4,16
2026-09-26,wk inc rsv hosp,-1,2026-09-19,06,quantile,0.45,16
2026-09-26,wk inc rsv hosp,-1,2026-09-19,06,quantile,0.5,17
2026-09-26,wk inc rsv hosp,-1,2026-09-19,06,quantile,0.55,18
2026-09-26,wk inc rsv hosp,-1,2026-09-19,06,quantile,0.6,18
2026-09-26,wk inc rsv hosp,-1,2026-09-19,06,quantile,0.65,19
2026-09-26,wk inc rsv hosp,-1,2026-09-19,06,quantile,0.7,20
2026-09-26,wk inc rsv hosp,-1,2026-09-19,06,quantile,0.75,20
2026-09-26,wk inc rsv hosp,-1,2026-09-19,06,quantile,0.8,22
2026-09-26,wk inc rsv hosp,-1,2026-09-19,06,quantile,0.85,23
2026-09-26,wk inc rsv hosp,-1,2026-09-19,06,quantile,0.9,24
