reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.01,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.025,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.05,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.1,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.15,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.2,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.25,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.3,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.35,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.4,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.45,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.5,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.55,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.6,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.65,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.7,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.75,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.8,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.85,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.9,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.95,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.975,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,01,quantile,0.99,56
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.01,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.025,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.05,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.1,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.15,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.2,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.25,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.3,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.35,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.4,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.45,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.5,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.55,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.6,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.65,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.7,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.75,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.8,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.85,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.9,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.95,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.975,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,02,quantile,0.99,1
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.01,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.025,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.05,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.1,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.15,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.2,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.25,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.3,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.35,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.4,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.45,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.5,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.55,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.6,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.65,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.7,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.75,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.8,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.85,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.9,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.95,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.975,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,04,quantile,0.99,7
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.01,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.025,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.05,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.1,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.15,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.2,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.25,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.3,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.35,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.4,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.45,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.5,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.55,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.6,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.65,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.7,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.75,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.8,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.85,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.9,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.95,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.975,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,05,quantile,0.99,23
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.01,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.025,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.05,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.1,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.15,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.2,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.25,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.3,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.35,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.4,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.45,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.5,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.55,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.6,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.65,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.7,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.75,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.8,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.85,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.9,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.95,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.975,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,06,quantile,0.99,63
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.01,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.025,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.05,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.1,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.15,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.2,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.25,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.3,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.35,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.4,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.45,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.5,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.55,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.6,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.65,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.7,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.75,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.8,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.85,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.9,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.95,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.975,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,08,quantile,0.99,8
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.01,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.025,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.05,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.1,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.15,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.2,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.25,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.3,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.35,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.4,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.45,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.5,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.55,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.6,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.65,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.7,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.75,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.8,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.85,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.9,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.95,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.975,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,09,quantile,0.99,9
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.01,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.025,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.05,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.1,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.15,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.2,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.25,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.3,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.35,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.4,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.45,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.5,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.55,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.6,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.65,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.7,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.75,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.8,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.85,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.9,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.95,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.975,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,10,quantile,0.99,12
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.01,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.025,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.05,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.1,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.15,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.2,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.25,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.3,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.35,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.4,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.45,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.5,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.55,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.6,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.65,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.7,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.75,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.8,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.85,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.9,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.95,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.975,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,11,quantile,0.99,3
2025-11-29,-1,wk inc rsv hosp,2025-11-22,12,quantile,0.01,334
2025-11-29,-1,wk inc rsv hosp,2025-11-22,12,quantile,0.025,334
2025-11-29,-1,wk inc rsv hosp,2025-11-22,12,quantile,0.05,334
2025-11-29,-1,wk inc rsv hosp,2025-11-22,12,quantile,0.1,334
2025-11-29,-1,wk inc rsv hosp,2025-11-22,12,quantile,0.15,334
2025-11-29,-1,wk inc rsv hosp,2025-11-22,12,quantile,0.2,334
2025-11-29,-1,wk inc rsv hosp,2025-11-22,12,quantile,0.25,334
2025-11-29,-1,wk inc rsv hosp,2025-11-22,12,quantile,0.3,334
2025-11-29,-1,wk inc rsv hosp,2025-11-22,12,quantile,0.35,334
2025-11-29,-1,wk inc rsv hosp,2025-11-22,12,quantile,0.4,334
2025-11-29,-1,wk inc rsv hosp,2025-11-22,12,quantile,0.45,334
2025-11-29,-1,wk inc rsv hosp,2025-11-22,12,quantile,0.5,334
2025-11-29,-1,wk inc rsv hosp,2025-11-22,12,quantile,0.55,334
2025-11-29,-1,wk inc rsv hosp,2025-11-22,12,quantile,0.6,334
2025-11-29,-1,wk inc rsv hosp,2025-11-22,12,quantile,0.65,334
2025-11-29,-1,wk inc rsv hosp,2025-11-22,12,quantile,0.7,334
2025-11-29,-1,wk inc rsv hosp,2025-11-22,12,quantile,0.75,334
2025-11-29,-1,wk inc rsv hosp,2025-11-22,12,quantile,0.8,334
