reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.01,43
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.025,47
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.05,50
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.1,53
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.15,56
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.2,58
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.25,60
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.3,62
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.35,64
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.4,66
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.45,68
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.5,70
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.55,73
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.6,78
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.65,84
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.7,90
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.75,94
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.8,97
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.85,100
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.9,103
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.95,109
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.975,113
2025-12-13,01,0,wk inc rsv hosp,2025-12-13,quantile,0.99,118
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.01,37.989999999999995
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.025,42
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.05,45
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.1,50
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.15,53.849999999999994
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.2,56
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.25,60
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.3,62.69999999999999
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.35,65
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.4,68
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.45,70
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.5,75
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.55,81
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.6,87
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.65,94
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.7,101
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.75,112
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.8,122
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.85,128
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.9,135
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.95,145
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.975,154
2025-12-13,01,1,wk inc rsv hosp,2025-12-20,quantile,0.99,163
2025-12-13,01,2,wk inc rsv hosp,2025-12-27,quantile,0.01,39
2025-12-13,01,2,wk inc rsv hosp,2025-12-27,quantile,0.025,44
2025-12-13,01,2,wk inc rsv hosp,2025-12-27,quantile,0.05,49.5
2025-12-13,01,2,wk inc rsv hosp,2025-12-27,quantile,0.1,57.5
2025-12-13,01,2,wk inc rsv hosp,2025-12-27,quantile,0.15,63.5
2025-12-13,01,2,wk inc rsv hosp,2025-12-27,quantile,0.2,69
