reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.01,160.40448416666663
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.025,160.40448416666663
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.05,160.40448416666663
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.1,160.40448416666663
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.15,160.40448416666663
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.2,163.3949700732267
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.25,167.898554768
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.3,176.84222662866668
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.35,177.97742152837336
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.4,178.61494934381798
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.45,185.18450955361803
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.5,187.1091195
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.55,188.220000446382
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.6,194.78956065618203
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.65,195.42708847162663
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.7,196.5622833713333
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.75,205.505955232
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.8,210.00953992677333
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.85,213.00002583333335
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.9,213.00002583333335
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.95,213.00002583333335
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.975,213.00002583333335
2025-12-20,0,wk inc rsv hosp,2025-12-20,06,quantile,0.99,213.00002583333335
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.01,21.031720333333347
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.025,21.031720333333347
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.05,21.1587935201193
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.1,22.5136080165586
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.15,22.984695702762103
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.2,23.75001991796492
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.25,24.373994778343857
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.3,26.213507048022468
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.35,26.52075273420912
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.4,27.50741105535439
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.45,27.797832649382453
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.5,30.14475915
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.55,30.410572350617542
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.6,30.70099394464561
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.65,31.68765226579088
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.7,31.99489795197753
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.75,33.83441022165614
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.8,34.45838508203508
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.85,35.223709297237896
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.9,35.6947969834414
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.95,37.049611479880696
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.975,37.17668466666665
2025-12-20,0,wk inc rsv hosp,2025-12-20,08,quantile,0.99,37.17668466666665
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.01,11.72941375
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.025,11.72941375
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.05,11.72941375
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.1,11.72941375
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.15,12.190760942800017
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.2,17.077029471759996
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.25,17.761966839781337
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.3,18.298208649157324
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.35,22.2725865034134
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.4,22.412111269185065
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.45,22.76824648475705
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.5,23.021958266666665
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.55,23.21762918190961
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.6,23.5737643974816
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.65,23.713289163253265
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.7,27.68766701750934
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.75,28.223908826885328
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.8,28.90884619490667
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.85,33.79511472386665
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.9,34.256461916666666
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.95,34.256461916666666
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.975,34.256461916666666
2025-12-20,0,wk inc rsv hosp,2025-12-20,09,quantile,0.99,34.256461916666666
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.01,157.76690933333333
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.025,157.76690933333333
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.05,157.76690933333333
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.1,166.11969304685334
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.15,169.62427974882667
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.2,171.01404500682668
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.25,190.55991020292
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.3,192.7842317089333
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.35,192.8677482007333
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.4,195.75039930816
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.45,197.46955122745769
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.5,199.86504566666667
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.55,201.9047787725423
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.6,203.62393069184
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.65,206.50658179926668
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.7,206.59009829106668
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.75,208.81441979708
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.8,228.3602849931733
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.85,229.7500502511733
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.9,233.25463695314664
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.95,241.60742066666663
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.975,241.60742066666663
2025-12-20,0,wk inc rsv hosp,2025-12-20,13,quantile,0.99,241.60742066666663
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.01,74.74311933333334
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.025,74.74311933333334
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.05,74.74311933333334
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.1,74.74311933333334
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.15,77.24681259405335
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.2,84.76806656769071
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.25,86.96411546081835
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.3,88.30938894117335
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.35,88.37116777995486
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.4,88.83473356433895
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.45,89.46444221788322
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.5,90.90520898333337
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.55,91.74093411545014
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.6,92.3706427689944
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.65,92.8342085533785
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.7,92.89598739216
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.75,94.241260872515
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.8,96.43730976564264
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.85,103.95856373928
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.9,106.46225700000002
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.95,106.46225700000002
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.975,106.46225700000002
2025-12-20,0,wk inc rsv hosp,2025-12-20,24,quantile,0.99,106.46225700000002
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.01,34.48419061666667
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.025,34.48419061666667
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.05,35.22604130929367
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.1,37.46506568963094
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.15,41.5908450585456
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.2,41.89122522697067
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.25,42.03469765828667
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.3,42.40414974952107
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.35,43.55935748273765
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.4,45.41360565136534
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.45,45.78237942388182
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.5,48.67937308333333
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.55,49.512376576118186
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.6,49.88115034863467
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.65,51.735398517262354
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.7,52.89060625047894
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.75,53.26005834171334
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.8,53.40353077302934
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.85,53.7039109414544
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.9,57.82969031036907
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.95,60.06871469070634
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.975,60.81056538333333
2025-12-20,0,wk inc rsv hosp,2025-12-20,26,quantile,0.99,60.81056538333333
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.01,29.752126166666656
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.025,29.752126166666656
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.05,29.752126166666656
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.1,30.290591140106656
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.15,31.66686510182665
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.2,35.50664271848533
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.25,36.662974445186656
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.3,37.53550641700598
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.35,37.77617827612598
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.4,38.49262188294666
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.45,39.09073724774666
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.5,39.858567333333326
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.55,40.567158085586655
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.6,41.16527345038666
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.65,41.88171705720733
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.7,42.12238891632733
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.75,42.99492088814666
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.8,44.151252614847984
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.85,47.99103023150666
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.9,49.36730419322666
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.95,49.90576916666666
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.975,49.90576916666666
2025-12-20,0,wk inc rsv hosp,2025-12-20,27,quantile,0.99,49.90576916666666
2025-12-20,0,wk inc rsv hosp,2025-12-20,35,quantile,0.01,0.0
2025-12-20,0,wk inc rsv hosp,2025-12-20,35,quantile,0.025,0.0
2025-12-20,0,wk inc rsv hosp,2025-12-20,35,quantile,0.05,0.382696554941333
